,dbn,schoolname,rr_s,N_s,nr_s,saf_s_11,com_s_11,eng_s_11,aca_s_11
1480,31R064,Gaynor McCown Expeditionary Learning School,95,286,300,6.4,6.4,6.7,7.2
1481,31R065,P.S. 65 The Academy of Innovative Learning,,,0,,,,
1482,31R069,P.S. 069 Daniel D. Tompkins,,,0,,,,
1483,31R072,I.S. 072 Rocco Laurie,92,1454,1587,6,5.6,6.6,7.4
1484,31R074,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,,,0,,,,
1485,31R075,I.S. 075 Frank D. Paulo,97,1220,1258,6.9,5.7,7.1,7.6
1486,31R080,The Michael J. Petrides School,96,753,786,6.7,6.2,7.3,7.6
1487,31R440,New Dorp High School,90,2173,2408,6.1,5.7,6.4,6.9
1488,31R445,Port Richmond High School,74,1567,2119,5.2,5.1,5.7,6.6
1489,31R450,Curtis High School,77,1856,2424,6,5.8,6.6,7.2
1490,31R455,Tottenville High School,85,3165,3726,7.1,6.2,7.5,7.8
1491,31R460,Susan E. Wagner High School,92,2855,3088,6.7,6.2,7.1,7.5
1492,31R470,Concord High School,78,105,135,8,6.9,7.4,8
1493,31R600,Ralph R. McKee Career and Technical Education High,87,620,712,6,5.8,6.2,6.8
1494,31R605,Staten Island Technical High School,99,1003,1018,8.2,7.4,7.8,8.5
1495,31R607,Staten Island Yabc,92,87,95,7.5,6.2,7.2,7.2
1496,31R861,Staten Island School of Civic Leadership,99,259,262,7.6,6.7,7.5,8.4
1497,32K045,P.S. 045 Horace E. Greene,,,0,,,,
1498,32K075,P.S. 075 Mayda Cortiella,,,0,,,,
1499,32K086,P.S. 086 The Irvington,,,0,,,,
1500,32K106,P.S. 106 Edward Everett Hale,,,0,,,,
1501,32K116,P.S. 116 Elizabeth L Farrell,,,0,,,,
1502,32K123,P.S. 123 Suydam,,,0,,,,
1503,32K145,P.S. 145 Andrew Jackson,,,0,,,,
1504,32K151,P.S. 151 Lyndon B. Johnson,,,0,,,,
1505,32K162,J.H.S. 162 The Willoughby,81,490,603,6.1,5.7,6.2,7.1
1506,32K274,P.S. 274 Kosciusko,,,0,,,,
1507,32K291,J.H.S. 291 Roland Hayes,91,587,645,5.8,5.8,6.4,7.3
1508,32K296,J.H.S. 296 The Halsey School,88,456,519,5.3,5.6,6.2,7.1
1509,32K299,P.S. 299 Thomas Warren Field,,,0,,,,
1510,32K347,I.S. 347 School of Humanities,91,437,479,6.2,5.8,6.3,7.5
1511,32K349,"I.S. 349 Math, Science & Tech.",86,448,519,6.4,5.6,6.9,7.6
1512,32K376,P.S. 376,,,0,,,,
1513,32K377,P.S. 377 Alejandrina B. De Gautier,95,264,277,4.8,5.3,5.4,6.7
1514,32K383,J.H.S. 383 Philippa Schuyler,96,825,858,5.7,5.6,6.1,7.3
1515,32K384,P.S. /I.S. 384 Frances E. Carter,98,187,190,7.6,6.9,7.8,8.4
1516,32K403,Academy for Environmental Leadership,87,293,337,5.8,5.7,6.1,7.1
1517,32K545,EBC High School for Public Service–Bushwick,80,504,633,6.4,5.8,6.2,7
1518,32K549,Bushwick School for Social Justice,73,295,402,6.5,5.9,6.6,7.3
1519,32K552,Academy of Urban Planning,59,256,434,6.4,5.7,6.7,7.3
1520,32K554,All City Leadership Secondary School,88,206,235,8.9,7.1,8.4,8.9
1521,32K556,Bushwick Leaders High School for Academic Excellen,67,323,485,6.6,6,6.7,7.3
1522,32K564,Bushwick Community High School,61,215,351,8.3,6.5,7.6,8.1
1523,84K355,Williamsburg Collegiate Charter School,93,252,270,7.3,6.6,7.3,8.2
1524,84K356,Achievement First- Crown Heights Charter School,92,260,284,6.5,6.5,6.4,7.8
1525,84K357,KIPP AMP Charter School,72,181,250,6.1,6.4,6.7,7.6
1526,84K358,Achievement First East New York School,27,22,83,6.9,6.1,7.3,7.8
1527,84K359,The Uft Charter School,71,317,448,5.5,5.5,5.5,6.9
1528,84K362,Hellenic Classical Charter School,100,69,69,7.6,6.6,7.9,8.3
1529,84K473,Williamsburg Charter High School,93,732,788,6.7,6,6.4,7.2
1530,84K508,Achievement First Endeavor Charter School,92,208,226,6.2,5.7,5.9,7.3
1531,84K517,Leadership Prep Charter School,,,0,,,,
1532,84K536,Community Roots Charter School,,,0,,,,
1533,84K538,Achievement First Bushwick Charter School,96,218,226,7,6.1,6.6,8.2
1534,84K593,Excellence Charter School of Bedford Stuyvesant,98,45,46,6.2,5.2,6.5,8
1535,84K608,Kings Collegiate Charter School,92,169,184,6.1,5.5,6.1,7.9
1536,84K626,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,,,0,,,,
1537,84K648,Bedford Stuyvesant Collegiate Charter School,99,113,114,8.2,8.2,8.3,9.2
1538,84K649,La Cima Charter School,,,0,,,,
1539,84K651,PAVE Academy Charter School,,,0,,,,
1540,84K652,Brooklyn Ascend Charter School,,,0,,,,
1541,84K693,Believe Northside Charter High School,92,154,167,6.8,6.3,6.8,7.3
1542,84K694,Believe Southside Charter High School,75,133,177,6.6,6.2,6.7,7.2
1543,84K701,Brooklyn Charter School,,,0,,,,
1544,84K702,Community Partnership Charter,100,32,32,6.6,7,6.6,7.6
1545,84K703,Beginning With Children Charter School,96,136,142,7.2,7,7.6,7.9
1546,84K704,Explore Charter School,98,124,126,7,6.6,7.1,7.9
1547,84K707,Brooklyn Prospect Charter School,87,173,200,7.4,7.5,7.5,7.8
1548,84K710,Brownsville Collegiate Charter School,93,70,75,6.4,5.8,6.4,7.6
1549,84K711,Leadership Preparatory Brownsville Charter School,,,0,,,,
1550,84K712,Excellence Girls Charter School,,,0,,,,
1551,84K726,Fahari Academy Charter School,81,42,52,6.3,5.4,6.3,7.6
1552,84K730,Summit Academy Charter School,86,142,165,7,6.9,7.6,7.9
1553,84K731,Brooklyn Excelsior Charter,39,91,231,6.4,6.2,7.1,7.7
1554,84K734,The Ethical Community Charter School (TECCS),,,0,,,,
1555,84K737,Brownsville Ascend Charter School,,,0,,,,
1556,84K740,Brooklyn Scholars Charter School,,,0,,,,
1557,84K742,Explore Empower Charter School,,,0,,,,
1558,84K744,Coney Island Preparatory Public Charter School,100,88,88,8.1,7.2,7.4,8.7
1559,84K746,Hebrew Language Academy Charter School,,,0,,,,
1560,84K769,Hyde Leadership Charter School- Brooklyn,,,0,,,,
1561,84K774,Achievement First Apollo Charter School,,,0,,,,
1562,84K775,Leadership Preparatory Ocean Hill Charter School,,,0,,,,
1563,84K777,Ocean Hill Collegiate Charter School,,,0,,,,
1564,84K780,Brooklyn East Collegiate Charter School,,,0,,,,
1565,84K782,Bedford Stuyvesant New Beginnings Charter School,,,0,,,,
1566,84K785,Imagine Me Leadership Charter School,,,0,,,,
1567,84K791,Brooklyn Dreams Charter School,,,0,,,,
1568,84K792,The Cultural Arts Academy at Spring Creek Charter,,,0,,,,
1569,84K793,Bushwick Ascend Charter School,,,0,,,,
1570,84K796,Lefferts Garden Charter School,,,0,,,,
1571,84K797,New Hope Academy Charter School,,,0,,,,
1572,84M279,The Opportunity Charter School,90,362,403,6.5,6.5,7.2,7.7
1573,84M284,Harlem Children's Zone/Promise Academy Charter Sch,82,243,295,7,6.7,7.7,8
1574,84M320,Manhattan Charter School,,,0,,,,
1575,84M329,Harlem Link Charter School,,,0,,,,
1576,84M330,Girls Preparatory Charter School of New York,96,47,49,7.1,6.1,6.4,7.5
1577,84M335,Harlem Village Academy Leadership Charter School,92,229,249,8.1,7.2,8,8.4
1578,84M336,KIPP Infinity Charter School,62,200,325,7.3,5.9,6.8,8
1579,84M337,New York City Center for Autism Charter School,,,0,,,,
1580,84M341,Harlem Children's Zone/Promise Academy II,82,32,39,6.5,7,7.3,8.3
1581,84M350,Democracy Preparatory Charter School,88,409,467,6.8,6,7,7.8
1582,84M351,Harlem Success Academy 1 Charter School,,,0,,,,
1583,84M353,New Heights Academy Charter School,88,579,658,6.2,6.1,6.5,7.5
1584,84M355,Ross Global Academy Charter School,96,133,138,6.3,6.4,7.2,7.4
1585,84M382,DREAM Charter School,,,0,,,,
1586,84M384,Harlem Success Academy 2 Charter School,,,0,,,,
1587,84M385,Harlem Success Academy 3 Charter School,,,0,,,,
1588,84M386,Harlem Success Academy 4 Charter School,,,0,,,,
1589,84M388,St. HOPE Leadership Academy Charter School,97,184,189,5.9,6,6.1,7.4
1590,84M430,The Equity Project Charter School (TEP),100,122,122,7.4,7.3,7.9,8.5
1591,84M433,Renaissance Charter High School for Innovation,98,128,131,7.2,6.9,6.9,7.8
1592,84M478,Inwood Academy for Leadership Charter School,,,0,,,,
1593,84M481,Democracy Preparatory Harlem Charter School,86,93,108,7.1,6.6,7.3,8.2
1594,84M482,Harlem Success Academy Charter School 5,,,0,,,,
1595,84M483,New York French American Charter School,,,0,,,,
1596,84M702,Sisulu-Walker Charter School,,,0,,,,
1597,84M704,Harbor Sciences and Arts Charter School,94,89,95,7,6.4,7.3,8
1598,84M705,Amber Charter School,,,0,,,,
1599,84M707,John V. Lindsay Wildcat Academy Charter School,61,267,438,7.6,6.7,7.1,7.5
1600,84M708,Harlem Day Charter School,,,0,,,,
1601,84M709,Harlem Village Academy Charter School,90,256,284,7.5,6.5,7.4,8.2
1602,84M726,KIPP S.T.A.R. Charter School,64,172,267,6.9,6.9,7.1,7.6
1603,84M861,Future Leaders Institute Charter School,100,96,96,7.1,6.9,7.8,8.3
1604,84Q170,Peninsula Preparatory Academy Charter School,,,0,,,,
1605,84Q304,VOICE Charter School of New York,,,0,,,,
1606,84Q321,Growing Up Green Charter School,,,0,,,,
1607,84Q340,Challenge Preparatory Charter School,,,0,,,,
1608,84Q341,Riverton Street Charter School,,,0,,,,
1609,84Q342,The Rochdale Early Advantage Charter School,,,0,,,,
1610,84Q704,Merrick Academy Charter School,100,47,47,5.5,5.7,6.8,7.7
1611,84Q705,"Renaissance Charter School, The",100,366,366,6.9,5.7,6.7,7.2
1612,84Q706,Our World Neighborhood Charter,99,248,251,6.7,6,6.9,7.3
1613,84R067,John W. Lavelle Preparatory Charter School,100,134,134,6.9,6.7,7.5,7.9
1614,84R071,Staten Island Community Charter School,,,0,,,,
1615,84R073,New World Preparatory Charter School,83,91,110,6.1,7.1,7,7.8
1616,84X165,Grand Concourse Charter School,,,0,,,,
1617,84X185,The Bronx Lighthouse Charter School,93,126,135,6.6,6.1,7,7.6
1618,84X255,Bronx Charter School for Excellence,100,51,51,7.3,7.4,8.1,8.3
1619,84X309,South Bronx Charter School For Int'L Culture & The,,,0,,,,
1620,84X345,Hyde Leadership Charter School,80,296,371,6.8,6.3,7.1,7.7
1621,84X346,South Bronx Classical Charter School,,,0,,,,
1622,84X347,International Leadership Charter School,68,200,292,5.9,5.5,5.5,6.8
1623,84X378,Icahn Charter School 2,,,0,,,,
1624,84X389,Bronx Global Learning Institute for Girls Charter,,,0,,,,
1625,84X393,Green Dot NY Charter School,97,285,295,6.9,6.5,6.8,7.7
1626,84X394,Mott Haven Academy Charter School,,,0,,,,
1627,84X395,"NYC CHARTER HIGH SCHOOL FOR ARCHITECTURE, ENGINEER",88,263,298,5.7,6,5.5,6.8
1628,84X398,Bronx Community Charter School,,,0,,,,
1629,84X407,Bronx Charter School for Children,,,0,,,,
1630,84X419,Bronx Academy of Promise Charter School,,,0,,,,
1631,84X422,Icahn Charter School 3,,,0,,,,
1632,84X461,Metropolitan Lighthouse Charter School,,,0,,,,
1633,84X482,Dr. Izquierdo Health and Science Charter School,98,92,94,6.5,5.9,6.8,7.1
1634,84X487,Girls Preparatory Charter School of the Bronx,,,0,,,,
1635,84X488,The Equality Charter School,98,212,216,6.6,6.6,7.2,7.7
1636,84X491,Academic Leadership Charter School,,,0,,,,
1637,84X493,Bronx Success Academy Charter School 1,,,0,,,,
1638,84X494,Bronx Success Academy Charter School 2,,,0,,,,
1639,84X496,Icahn Charter School 4,,,0,,,,
1640,84X499,Kingsbridge Innovative Design Charter School (KIDC,,,0,,,,
1641,84X703,Bronx Prep Charter School,70,418,601,6.6,6.4,6.9,7.5
1642,84X704,KIPP Academy Charter School,65,180,276,7.5,6.9,7.1,8
1643,84X705,Family Life Academy Charter School,100,76,76,9.2,8.6,9.3,9.5
1644,84X706,Harriet Tubman Charter School,97,144,148,6.5,6.2,6.8,7.9
1645,84X717,Icahn Charter School 1,100,109,109,7.4,6.3,7.6,8.3
1646,84X718,Bronx Charter School for Better Learning,,,0,,,,
1647,84X730,Bronx Charter School for Arts,100,19,19,7.4,8.8,8.4,8.7
