,dbn,schoolname,rr_s,N_s,nr_s,saf_s_11,com_s_11,eng_s_11,aca_s_11
218,04M497,Central Park East I,,,0,,,,
219,04M555,Central Park East High School,87,342,394,6.6,5.8,6,7.4
220,04M610,Young Women's Leadership School,85,380,447,7.5,6.6,7.2,8.3
221,04M635,Academy of Environmental Science Secondary High Sc,94,235,250,6.4,5.9,6.3,6.9
222,04M680,"Heritage School, The",92,262,286,6.4,5.9,6.4,7
223,04M825,Isaac Newton Middle School for Math & Science,93,332,357,6.7,6.7,7.2,8
224,04M964,Central Park East II,,,0,,,,
225,05M030,P.S. 030 Hernandez/Hughes,,,0,,,,
226,05M036,P.S. 036 Margaret Douglas,,,0,,,,
227,05M046,P.S. 046 Arthur Tappan,96,135,140,7.2,6.6,7.6,8
228,05M092,P.S. 092 Mary McLeod Bethune,,,0,,,,
229,05M123,P.S. 123 Mahalia Jackson,76,136,179,5.6,4.9,6.1,7.2
230,05M125,P.S. 125 Ralph Bunche,,,0,,,,
231,05M129,P.S. 129 John H. Finley,82,160,196,6.6,6.6,7.8,8.2
232,05M133,P.S. 133 Fred R Moore,,,0,,,,
233,05M154,P.S. 154 Harriet Tubman,,,0,,,,
234,05M161,P.S. 161 Pedro Albizu Campos,97,260,269,7,6.5,7.7,8.3
235,05M175,P.S. 175 Henry H Garnet,,,0,,,,
236,05M194,P.S. 194 Countee Cullen,,,0,,,,
237,05M195,I.S. 195 Roberto Clemente,73,282,387,6.3,5.8,6.8,7.4
238,05M197,P.S. 197 John B. Russwurm,,,0,,,,
239,05M200,P.S. 200- The James Mccune Smith School,,,0,,,,
240,05M285,Harlem Renaissance High School,68,117,171,7,6.2,6.9,7.5
241,05M286,I.S. M286 Renaissance Military Leadership Academy,88,220,251,8.4,8,8.7,8.8
242,05M302,KAPPA IV,97,202,208,6.2,6.4,6.6,7.6
243,05M304,Mott Hall High School,99,377,380,6.2,6,6.2,7.2
244,05M317,Kappa II,75,38,51,6.2,6,6.4,7.2
245,05M318,Thurgood Marshall Academy Lower School,,,0,,,,
246,05M344,Academy of Collaborative Education,88,93,106,6.1,6.1,6.7,7.5
247,05M362,Columbia Secondary School,91,343,377,6.9,6.8,7,7.4
248,05M367,Academy for Social Action: A College Board School,71,285,402,5.7,5.6,6.1,6.9
249,05M369,Urban Assembly School for the Performing Arts,87,281,323,5.2,5.2,5.5,6.4
250,05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,90,101,112,6.8,6.7,7,7.8
251,05M469,Choir Academy of Harlem,95,313,330,6,5.8,6.4,7
252,05M499,Frederick Douglass Academy,71,1049,1486,5.7,5.3,6.3,7.3
253,05M670,Thurgood Marshall Academy for Learning and Social,72,405,562,6.7,6.4,6.7,7.6
254,05M685,Bread & Roses Integrated Arts High School,74,346,465,5.5,5.2,5.5,6.6
255,05M692,"High School for Mathematics, Science and Engineeri",89,357,402,7.8,6.7,7.2,8.2
256,06M004,P.S. 004 Duke Ellington,,,0,,,,
257,06M005,P.S. 005 Ellen Lurie,,,0,,,,
